family	# chemicals	# family specific chemicals	# med plants	# plants in fam	plants in fam
ncbitaxon:59430	688	154	7	56	['ncbitaxon:1442690', 'ncbitaxon:2306378', 'ncbitaxon:261776', 'ncbitaxon:261808', 'ncbitaxon:261805', 'ncbitaxon:630296', 'ncbitaxon:541157', 'ncbitaxon:2306383', 'ncbitaxon:261810', 'ncbitaxon:857093', 'ncbitaxon:2306373', 'ncbitaxon:112363', 'ncbitaxon:379243', 'ncbitaxon:1442666', 'ncbitaxon:630339', 'ncbitaxon:630343', 'ncbitaxon:630321', 'ncbitaxon:261798', 'ncbitaxon:261777', 'ncbitaxon:630307', 'ncbitaxon:261783', 'ncbitaxon:1442678', 'ncbitaxon:630286', 'ncbitaxon:2306362', 'ncbitaxon:1442651', 'ncbitaxon:261799', 'ncbitaxon:112358', 'ncbitaxon:630325', 'ncbitaxon:630301', 'ncbitaxon:1442637', 'ncbitaxon:630332', 'ncbitaxon:1442645', 'ncbitaxon:1244806', 'ncbitaxon:1442697', 'ncbitaxon:261786', 'ncbitaxon:261793', 'ncbitaxon:630317', 'ncbitaxon:261804', 'ncbitaxon:1442643', 'ncbitaxon:630305', 'ncbitaxon:261797', 'ncbitaxon:630344', 'ncbitaxon:112356', 'ncbitaxon:112360', 'ncbitaxon:1442641', 'ncbitaxon:112361', 'ncbitaxon:630337', 'ncbitaxon:261796', 'ncbitaxon:630302', 'ncbitaxon:112357', 'ncbitaxon:59435', 'ncbitaxon:1442680', 'ncbitaxon:630340', 'ncbitaxon:630335', 'ncbitaxon:1442673', 'ncbitaxon:1442676']
ncbitaxon:1331807	29	7	0	1	['ncbitaxon:1331808']
ncbitaxon:56861	7	0	0	1	['ncbitaxon:56862']
ncbitaxon:4048	67	35	1	4	['ncbitaxon:554381', 'ncbitaxon:554380', 'ncbitaxon:4049', 'ncbitaxon:82091']
ncbitaxon:46420	5	5	0	1	['ncbitaxon:46421']
ncbitaxon:15970	19	10	0	1	['ncbitaxon:191664']
ncbitaxon:25894	1	1	0	1	['ncbitaxon:1930292']
ncbitaxon:90353	120	7	0	5	['ncbitaxon:374705', 'ncbitaxon:428902', 'ncbitaxon:428917', 'ncbitaxon:90354', 'ncbitaxon:428919']
ncbitaxon:3794	51	1	0	3	['ncbitaxon:3795', 'ncbitaxon:370361', 'ncbitaxon:423500']
ncbitaxon:77035	29	6	1	1	['ncbitaxon:159053']
ncbitaxon:23249	1	0	0	1	['ncbitaxon:23250']
ncbitaxon:19029	1	0	0	1	['ncbitaxon:231826']
ncbitaxon:111109	2	0	0	2	['ncbitaxon:347650', 'ncbitaxon:203761']
ncbitaxon:306962	2	0	0	1	['ncbitaxon:306963']
ncbitaxon:553498	4	2	0	2	['ncbitaxon:1231540', 'ncbitaxon:1231539']
ncbitaxon:55458	8	0	2	3	['ncbitaxon:83836', 'ncbitaxon:62339', 'ncbitaxon:180125']
ncbitaxon:1960942	15	5	0	2	['ncbitaxon:648882', 'ncbitaxon:1960966']
ncbitaxon:51482	2	0	0	1	['ncbitaxon:262742']
ncbitaxon:204107	2	0	1	1	['ncbitaxon:204108']
ncbitaxon:112818	76	17	2	3	['ncbitaxon:112819', 'ncbitaxon:1857402', 'ncbitaxon:210376']
ncbitaxon:183064	8	0	0	1	['ncbitaxon:183065']
