family	# chemicals	# family specific chemicals	# med plants	# plants in fam	plants in fam
ncbitaxon:112800	127	32	1	13	['ncbitaxon:112823', 'ncbitaxon:112821', 'ncbitaxon:212226', 'ncbitaxon:1077893', 'ncbitaxon:212241', 'ncbitaxon:1220056', 'ncbitaxon:124848', 'ncbitaxon:593753', 'ncbitaxon:312426', 'ncbitaxon:1633205', 'ncbitaxon:467743', 'ncbitaxon:124842', 'ncbitaxon:423281']
ncbitaxon:1638000	12	2	0	1	['ncbitaxon:173906']
ncbitaxon:27065	909	402	6	19	['ncbitaxon:182321', 'ncbitaxon:182314', 'ncbitaxon:296050', 'ncbitaxon:452971', 'ncbitaxon:319929', 'ncbitaxon:319931', 'ncbitaxon:4443', 'ncbitaxon:319927', 'ncbitaxon:107826', 'ncbitaxon:4442', 'ncbitaxon:479408', 'ncbitaxon:182317', 'ncbitaxon:1407748', 'ncbitaxon:452972', 'ncbitaxon:261999', 'ncbitaxon:182300', 'ncbitaxon:385388', 'ncbitaxon:153142', 'ncbitaxon:452973']
ncbitaxon:41867	23	0	1	6	['ncbitaxon:185779', 'ncbitaxon:68866', 'ncbitaxon:69054', 'ncbitaxon:257431', 'ncbitaxon:257432', 'ncbitaxon:34248']
ncbitaxon:4180	218	48	3	7	['ncbitaxon:1503125', 'ncbitaxon:300843', 'ncbitaxon:222879', 'ncbitaxon:1503107', 'ncbitaxon:300844', 'ncbitaxon:4182', 'ncbitaxon:642575']
ncbitaxon:3688	996	222	24	96	['ncbitaxon:2511006', 'ncbitaxon:1603848', 'ncbitaxon:77057', 'ncbitaxon:1857402', 'ncbitaxon:351344', 'ncbitaxon:172267', 'ncbitaxon:266767', 'ncbitaxon:1536645', 'ncbitaxon:681419', 'ncbitaxon:179717', 'ncbitaxon:1085088', 'ncbitaxon:295326', 'ncbitaxon:75722', 'ncbitaxon:75719', 'ncbitaxon:470269', 'ncbitaxon:77069', 'ncbitaxon:75703', 'ncbitaxon:75704', 'ncbitaxon:3697', 'ncbitaxon:43335', 'ncbitaxon:1616482', 'ncbitaxon:1004002', 'ncbitaxon:350589', 'ncbitaxon:75708', 'ncbitaxon:242124', 'ncbitaxon:75715', 'ncbitaxon:470272', 'ncbitaxon:312437', 'ncbitaxon:3691', 'ncbitaxon:470274', 'ncbitaxon:482945', 'ncbitaxon:210376', 'ncbitaxon:3696', 'ncbitaxon:40686', 'ncbitaxon:339964', 'ncbitaxon:60009', 'ncbitaxon:77070', 'ncbitaxon:312456', 'ncbitaxon:1009479', 'ncbitaxon:688332', 'ncbitaxon:1125347', 'ncbitaxon:179740', 'ncbitaxon:113636', 'ncbitaxon:1955051', 'ncbitaxon:245546', 'ncbitaxon:113624', 'ncbitaxon:312370', 'ncbitaxon:212245', 'ncbitaxon:153471', 'ncbitaxon:1130872', 'ncbitaxon:439901', 'ncbitaxon:1087802', 'ncbitaxon:1217306', 'ncbitaxon:112819', 'ncbitaxon:75712', 'ncbitaxon:3690', 'ncbitaxon:179731', 'ncbitaxon:1455567', 'ncbitaxon:75718', 'ncbitaxon:75556', 'ncbitaxon:1679365', 'ncbitaxon:2780150', 'ncbitaxon:77065', 'ncbitaxon:526929', 'ncbitaxon:1078600', 'ncbitaxon:1609857', 'ncbitaxon:591066', 'ncbitaxon:75702', 'ncbitaxon:669804', 'ncbitaxon:2780144', 'ncbitaxon:73824', 'ncbitaxon:688333', 'ncbitaxon:1510605', 'ncbitaxon:681418', 'ncbitaxon:640484', 'ncbitaxon:118781', 'ncbitaxon:889485', 'ncbitaxon:3694', 'ncbitaxon:1233969', 'ncbitaxon:75706', 'ncbitaxon:3693', 'ncbitaxon:550460', 'ncbitaxon:77064', 'ncbitaxon:1304319', 'ncbitaxon:77063', 'ncbitaxon:1242996', 'ncbitaxon:124846', 'ncbitaxon:688336', 'ncbitaxon:1475379', 'ncbitaxon:349989', 'ncbitaxon:312404', 'ncbitaxon:295327', 'ncbitaxon:2570303', 'ncbitaxon:112817', 'ncbitaxon:77055', 'ncbitaxon:1603833']
ncbitaxon:400690	2	1	0	1	['ncbitaxon:263821']
ncbitaxon:41845	140	32	0	12	['ncbitaxon:41848', 'ncbitaxon:215256', 'ncbitaxon:399155', 'ncbitaxon:588647', 'ncbitaxon:464313', 'ncbitaxon:537845', 'ncbitaxon:248355', 'ncbitaxon:209811', 'ncbitaxon:1133308', 'ncbitaxon:264775', 'ncbitaxon:537855', 'ncbitaxon:248358']
ncbitaxon:4731	223	35	6	9	['ncbitaxon:59011', 'ncbitaxon:189386', 'ncbitaxon:453243', 'ncbitaxon:35871', 'ncbitaxon:767568', 'ncbitaxon:203643', 'ncbitaxon:379307', 'ncbitaxon:644748', 'ncbitaxon:4733']
ncbitaxon:2682465	1	0	0	1	['ncbitaxon:344402']
ncbitaxon:3103	20	0	0	2	['ncbitaxon:3107', 'ncbitaxon:55410']
