class_name	ncbitaxon:1003244	ncbitaxon:1003247	ncbitaxon:1003248	ncbitaxon:1003255	ncbitaxon:104773	ncbitaxon:112800	ncbitaxon:1131839	ncbitaxon:114201	ncbitaxon:1203500	ncbitaxon:1203515	ncbitaxon:1203520	ncbitaxon:124867	ncbitaxon:125011	ncbitaxon:125017	ncbitaxon:125045	ncbitaxon:13806	ncbitaxon:13811	ncbitaxon:13819	ncbitaxon:13828	ncbitaxon:138900	ncbitaxon:139826	ncbitaxon:139835	ncbitaxon:14101	ncbitaxon:14107	ncbitaxon:1525212	ncbitaxon:155890	ncbitaxon:155891	ncbitaxon:1561072	ncbitaxon:1561073	ncbitaxon:1561080	ncbitaxon:156152	ncbitaxon:156201	ncbitaxon:16362	ncbitaxon:16367	ncbitaxon:16376	ncbitaxon:16472	ncbitaxon:16611	ncbitaxon:16673	ncbitaxon:16711	ncbitaxon:16712	ncbitaxon:16714	ncbitaxon:16727	ncbitaxon:16733	ncbitaxon:16737	ncbitaxon:16739	ncbitaxon:16748	ncbitaxon:1732448	ncbitaxon:179841	ncbitaxon:1804623	ncbitaxon:1873870	ncbitaxon:1898022	ncbitaxon:19955	ncbitaxon:20008	ncbitaxon:20019	ncbitaxon:209791	ncbitaxon:21472	ncbitaxon:21561	ncbitaxon:21571	ncbitaxon:216853	ncbitaxon:21910	ncbitaxon:22009	ncbitaxon:22063	ncbitaxon:22097	ncbitaxon:22118	ncbitaxon:22140	ncbitaxon:22274	ncbitaxon:22297	ncbitaxon:22788	ncbitaxon:2282344	ncbitaxon:22910	ncbitaxon:22973	ncbitaxon:2304161	ncbitaxon:23066	ncbitaxon:23097	ncbitaxon:23121	ncbitaxon:233879	ncbitaxon:233880	ncbitaxon:233881	ncbitaxon:23513	ncbitaxon:23672	ncbitaxon:23808	ncbitaxon:24079	ncbitaxon:24579	ncbitaxon:24584	ncbitaxon:246271	ncbitaxon:24902	ncbitaxon:24921	ncbitaxon:24942	ncbitaxon:24943	ncbitaxon:24966	ncbitaxon:255922	ncbitaxon:25623	ncbitaxon:25664	ncbitaxon:25673	ncbitaxon:25692	ncbitaxon:25926	ncbitaxon:25931	ncbitaxon:25996	ncbitaxon:26000	ncbitaxon:26019	ncbitaxon:26122	ncbitaxon:26279	ncbitaxon:26319	ncbitaxon:26339	ncbitaxon:26468	ncbitaxon:26766	ncbitaxon:26778	ncbitaxon:26958	ncbitaxon:27065	ncbitaxon:27254	ncbitaxon:280805	ncbitaxon:28466	ncbitaxon:2956716	ncbitaxon:29585	ncbitaxon:29600	ncbitaxon:29607	ncbitaxon:29616	ncbitaxon:29619	ncbitaxon:29635	ncbitaxon:29637	ncbitaxon:301453	ncbitaxon:301454	ncbitaxon:3043	ncbitaxon:3051	ncbitaxon:3070	ncbitaxon:3086	ncbitaxon:3103	ncbitaxon:3114	ncbitaxon:3127	ncbitaxon:3131	ncbitaxon:3146	ncbitaxon:3201	ncbitaxon:32084	ncbitaxon:3211	ncbitaxon:32151	ncbitaxon:3216	ncbitaxon:32186	ncbitaxon:3220	ncbitaxon:32203	ncbitaxon:3227	ncbitaxon:3238	ncbitaxon:3245	ncbitaxon:3250	ncbitaxon:3256	ncbitaxon:3265	ncbitaxon:3269	ncbitaxon:3272	ncbitaxon:3275	ncbitaxon:3282	ncbitaxon:3298	ncbitaxon:3309	ncbitaxon:3318	ncbitaxon:334154	ncbitaxon:3362	ncbitaxon:3367	ncbitaxon:3379	ncbitaxon:3386	ncbitaxon:3394	ncbitaxon:3401	ncbitaxon:3417	ncbitaxon:3424	ncbitaxon:3427	ncbitaxon:3433	ncbitaxon:3440	ncbitaxon:3455	ncbitaxon:3458	ncbitaxon:3465	ncbitaxon:3474	ncbitaxon:3481	ncbitaxon:3487	ncbitaxon:3499	ncbitaxon:3503	ncbitaxon:3514	ncbitaxon:3520	ncbitaxon:3525	ncbitaxon:3536	ncbitaxon:3542	ncbitaxon:35432	ncbitaxon:35433	ncbitaxon:35436	ncbitaxon:35461	ncbitaxon:35484	ncbitaxon:3563	ncbitaxon:3568	ncbitaxon:3581	ncbitaxon:3584	ncbitaxon:3587	ncbitaxon:3590	ncbitaxon:3593	ncbitaxon:3602	ncbitaxon:3608	ncbitaxon:3615	ncbitaxon:3623	ncbitaxon:3629	ncbitaxon:3642	ncbitaxon:3647	ncbitaxon:3650	ncbitaxon:3680	ncbitaxon:3683	ncbitaxon:3688	ncbitaxon:3700	ncbitaxon:3733	ncbitaxon:3737	ncbitaxon:37393	ncbitaxon:37397	ncbitaxon:37411	ncbitaxon:37421	ncbitaxon:3745	ncbitaxon:3776	ncbitaxon:3781	ncbitaxon:37822	ncbitaxon:3792	ncbitaxon:379500	ncbitaxon:3803	ncbitaxon:39020	ncbitaxon:3928	ncbitaxon:3931	ncbitaxon:3934	ncbitaxon:3954	ncbitaxon:3958	ncbitaxon:3963	ncbitaxon:3973	ncbitaxon:3977	ncbitaxon:398018	ncbitaxon:3997	ncbitaxon:39987	ncbitaxon:39998	ncbitaxon:4000	ncbitaxon:40029	ncbitaxon:4004	ncbitaxon:40043	ncbitaxon:400721	ncbitaxon:4011	ncbitaxon:4014	ncbitaxon:4018	ncbitaxon:4027	ncbitaxon:4033	ncbitaxon:40338	ncbitaxon:4037	ncbitaxon:4050	ncbitaxon:40552	ncbitaxon:4056	ncbitaxon:40588	ncbitaxon:4070	ncbitaxon:4118	ncbitaxon:41218	ncbitaxon:4136	ncbitaxon:41399	ncbitaxon:4144	ncbitaxon:4149	ncbitaxon:41773	ncbitaxon:4180	ncbitaxon:41837	ncbitaxon:41842	ncbitaxon:41845	ncbitaxon:4185	ncbitaxon:41850	ncbitaxon:41860	ncbitaxon:41866	ncbitaxon:41867	ncbitaxon:418793	ncbitaxon:4196	ncbitaxon:41972	ncbitaxon:4200	ncbitaxon:4206	ncbitaxon:4210	ncbitaxon:42216	ncbitaxon:42219	ncbitaxon:42225	ncbitaxon:42228	ncbitaxon:4268	ncbitaxon:4274	ncbitaxon:4286	ncbitaxon:4289	ncbitaxon:4294	ncbitaxon:4305	ncbitaxon:4313	ncbitaxon:4321	ncbitaxon:4324	ncbitaxon:4328	ncbitaxon:4335	ncbitaxon:4345	ncbitaxon:4353	ncbitaxon:4360	ncbitaxon:43707	ncbitaxon:4374	ncbitaxon:4381	ncbitaxon:4386	ncbitaxon:43873	ncbitaxon:4390	ncbitaxon:4401	ncbitaxon:4405	ncbitaxon:4410	ncbitaxon:441552	ncbitaxon:4429	ncbitaxon:4437	ncbitaxon:4449	ncbitaxon:4454	ncbitaxon:4479	ncbitaxon:44985	ncbitaxon:4609	ncbitaxon:4613	ncbitaxon:4619	ncbitaxon:4626	ncbitaxon:4630	ncbitaxon:4637	ncbitaxon:4642	ncbitaxon:4668	ncbitaxon:4671	ncbitaxon:4674	ncbitaxon:4677	ncbitaxon:4703	ncbitaxon:4710	ncbitaxon:4724	ncbitaxon:4731	ncbitaxon:4740	ncbitaxon:4747	ncbitaxon:49662	ncbitaxon:50362	ncbitaxon:51377	ncbitaxon:51383	ncbitaxon:51590	ncbitaxon:52974	ncbitaxon:53009	ncbitaxon:53016	ncbitaxon:53020	ncbitaxon:54924	ncbitaxon:55434	ncbitaxon:55435	ncbitaxon:55961	ncbitaxon:56627	ncbitaxon:56740	ncbitaxon:56881	ncbitaxon:56883	ncbitaxon:56885	ncbitaxon:56910	ncbitaxon:56912	ncbitaxon:57708	ncbitaxon:620909	ncbitaxon:629714	ncbitaxon:629717	ncbitaxon:63070	ncbitaxon:63072	ncbitaxon:63081	ncbitaxon:63083	ncbitaxon:63776	ncbitaxon:63796	ncbitaxon:65055	ncbitaxon:66670	ncbitaxon:66687	ncbitaxon:67245	ncbitaxon:693765	ncbitaxon:693766	ncbitaxon:693768	ncbitaxon:693794	ncbitaxon:69450	ncbitaxon:70208	ncbitaxon:703253	ncbitaxon:703407	ncbitaxon:72383	ncbitaxon:75435	ncbitaxon:80887	ncbitaxon:82145	ncbitaxon:83620	ncbitaxon:85159	ncbitaxon:85174	ncbitaxon:85275	ncbitaxon:85278	ncbitaxon:88854	ncbitaxon:91816	ncbitaxon:91829	ncbitaxon:91850	ncbitaxon:91851	ncbitaxon:91852	ncbitaxon:91896	ncbitaxon:94394	ncbitaxon:95774	ncbitaxon:984489	ncbitaxon:984509	ncbitaxon:984539	ncbitaxon:984551
Isocoumarins	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	4	0	8	0	0	0	0	1	0	0	0	0	0	6	0	0	7	0	0	0	2	0	0	6	1	1	0	3	0	6	0	0	1	6	0	0	4	2	0	0	0	0	0	0	0	18	0	0	12	0	15	2	0	6	0	0	0	0	1	0	1	16	0	2	0	2	0	0	0	0	1	11	0	0	0	0	2	2	0	0	1	0	1	0	1	1	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	2	0	0	3	20	0	1	2	0	0	0	3	0	2	0	6	8	6	0	8	0	0	7	2	2	0	0	2	2	6	0	0	0	0	0	2	3	0	0	0	0	1	0	0	4	0	4	0	1	2	0	0	1	6	0	3	0	0	0	0	11	0	3	0	15	0	86	0	11	4	0	5	0	0	0	23	0	0	7	0	0	2	0	0	0	8	7	0	6	0	0	26	0	10	9	6	10	9	1	21	0	0	2	10	1	0	0	0	9	0	0	0	0	0	0	1	5	0	155	2	1	0	0	0	0	0	2	0	0	0	0	0	1	12	4	0	0	16	0	4	0	0	2	0	0	0	0	0	0	0	5	5	6	5	0	0	0	0	0	0	11	4	5	0	0	1	0	0	0	12	2	0	0	9	2	4	0	0	0	0	2	0	8	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	4	0	0	0	0	0	0
Neolignans	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	2	0	7	0	0	0	0	0	0	0	0	0	1	5	23	21	65	31	0	0	21	0	0	2	29	1	0	3	0	21	0	1	1	3	0	0	18	39	1	2	0	0	0	0	0	0	0	0	7	0	31	10	3	24	0	0	6	19	0	1	1	37	0	10	2	2	0	0	0	2	0	0	2	0	0	0	0	0	20	0	2	0	0	3	5	0	7	0	0	0	0	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	5	1	0	0	0	2	0	0	0	70	0	0	46	1	0	1	115	0	0	0	110	30	1	0	3	0	3	23	0	5	3	2	8	0	8	0	0	0	0	0	1	4	0	0	0	2	1	1	1	8	1	28	0	0	25	0	1	1	16	0	5	0	0	0	1	37	0	22	1	2	0	130	0	22	32	0	2	7	0	0	62	1	0	5	0	0	3	0	0	0	3	5	0	0	0	0	36	7	7	36	4	20	34	1	155	2	9	7	25	0	0	0	0	2	0	0	0	0	0	0	1	11	13	220	0	2	0	25	0	1	0	1	2	28	0	4	0	0	7	7	0	0	34	0	3	2	4	4	0	0	2	0	0	0	0	12	12	4	1	0	3	0	0	1	24	33	6	6	19	1	2	0	0	0	22	0	0	0	4	0	0	0	0	0	0	0	19	1	0	0	0	0	0	0	2	0	1	7	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	1	30	0	0	0	0	0	2
Iridoids monoterpenoids	0	0	0	5	0	0	0	0	1	0	0	0	0	0	4	0	0	7	0	0	0	0	2	0	0	0	3	1	0	0	403	0	0	0	0	2	0	0	0	0	1	0	1	0	4	0	0	0	2	0	0	3	3	2	0	39	0	4	0	51	0	0	0	0	9	1	0	4	0	0	0	0	2	2	0	2	3	0	7	7	0	78	2	1	0	6	0	1	10	302	0	1	0	0	0	0	0	2	0	0	3	0	0	3	26	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	1	0	0	0	0	0	0	3	0	0	19	0	0	0	5	0	0	0	15	10	4	0	2	0	3	5	0	4	0	0	0	0	8	0	2	0	0	0	1	1	3	0	0	2	0	0	2	3	15	4	0	0	0	0	0	3	3	0	4	0	0	0	0	4	0	6	7	3	0	49	0	0	13	0	0	0	0	0	4	0	0	0	0	0	2	0	0	0	2	0	0	0	0	2	9	1	7	55	0	6	1	1	270	1	48	96	1	8	1	0	3	34	0	0	1	4	0	8	0	180	38	83	0	20	1	0	0	1	5	0	1	6	0	0	0	2	6	14	3	0	2	0	1	13	0	26	0	0	0	0	1	4	0	0	1	3	0	0	0	0	0	0	6	16	6	0	0	0	2	0	0	0	9	0	0	0	1	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	1	6	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	1	0	1	0	149	1	0	0	0	0	0
Flavonols	1	1	1	31	2	8	2	6	13	0	2	7	2	0	3	0	0	171	17	2	3	0	1	16	0	15	1	42	6	19	97	0	2	1	5	0	3	4	3	0	30	22	15	18	40	18	0	4	156	48	1	63	4	4	0	79	12	97	4	21	0	7	0	15	188	11	0	5	0	1	19	3	19	10	4	4	69	0	595	144	21	61	16	12	8	5	1	11	10	355	0	33	0	3	16	0	11	39	1	30	1	5	1	74	34	24	26	24	42	3	0	5	6	0	10	40	15	3	2	13	27	52	0	0	0	0	0	6	0	2	0	0	30	1	0	0	1	0	0	2	6	1	34	37	1	5	9	44	1	1	35	180	0	88	105	7	44	15	41	3	55	4	249	290	51	2	87	28	19	163	28	100	84	9	14	22	34	8	5	0	2	2	26	37	6	21	0	10	64	38	92	254	26	178	6	11	77	5	17	58	225	6	63	0	0	11	1	482	34	239	6	166	0	2220	4	46	220	50	16	7	21	0	272	6	0	85	18	12	14	2	2	11	53	20	11	80	6	0	223	47	77	232	38	285	75	14	630	12	60	60	353	3	5	0	12	35	0	1	7	2	0	13	33	92	32	3112	8	29	3	4	14	32	13	4	36	110	0	2	0	19	178	266	3	22	115	6	41	14	80	12	16	0	23	7	24	53	17	29	74	16	42	14	14	0	7	0	134	197	33	3	61	14	64	13	44	5	82	0	18	2	64	0	6	3	0	0	1	2	1	62	0	0	3	0	0	0	1	12	1	197	0	1	4	0	37	3	1	0	0	2	7	6	0	6	3	68	4	23	0	1	0	0	5	0	0	3	4	5	0	0	5	0	8	9	25	1	0	7	0	0	0
Simple indole alkaloids	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	2	4	2	1	7	6	0	0	13	0	0	5	0	0	0	8	0	4	0	0	0	0	0	0	28	4	0	2	0	0	0	0	2	0	0	0	8	0	49	2	10	1	0	0	0	0	0	0	0	34	0	0	0	0	2	0	0	2	1	0	0	0	0	0	6	0	0	1	1	0	0	0	0	1	1	2	1	0	0	0	4	0	0	1	0	0	1	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	1	1	0	0	1	0	0	0	3	21	0	1	8	0	0	0	1	0	0	4	4	12	1	0	3	1	0	4	3	5	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	3	6	14	0	7	0	0	14	2	1	1	127	0	0	0	0	0	0	32	0	0	0	0	5	165	0	3	7	0	0	0	4	0	14	0	0	1	0	5	0	1	0	0	6	0	1	0	0	0	19	2	9	29	2	30	7	0	42	0	4	6	6	1	0	0	0	4	0	0	2	0	0	0	0	11	1	102	1	0	0	2	0	4	0	0	0	0	0	0	1	2	2	0	0	0	10	0	3	0	1	4	0	0	0	0	2	1	0	5	31	1	2	1	0	0	0	4	6	6	0	0	0	1	1	0	0	1	4	0	0	0	1	2	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	6	0	0	0	0	0	0
Kaurane and Phyllocladane diterpenoids	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	7	0	0	0	0	0	0	1	0	7	0	0	7	0	0	0	1	0	5	0	0	0	0	3	2	0	5	0	0	0	6	0	1	3	0	0	0	8	0	8	0	0	0	0	1	0	48	0	0	0	0	0	0	0	0	0	0	0	1	0	19	0	1	0	0	0	0	0	1	1	0	27	0	0	0	0	0	0	0	4	0	0	0	0	0	0	2	7	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	4	0	1	9	0	0	0	0	0	7	0	1	36	1	0	14	0	6	1	0	5	0	0	1	7	0	0	0	0	1	0	0	8	0	0	0	0	1	0	9	0	2	7	0	0	10	0	0	5	17	0	0	0	0	0	3	19	0	1	0	0	0	94	0	9	13	0	7	0	0	0	73	0	0	1	0	2	20	2	0	0	3	7	0	0	0	0	7	12	9	10	0	8	15	1	737	2	3	0	4	0	0	0	0	15	0	0	0	0	0	0	0	0	0	254	0	1	0	0	0	0	8	0	0	17	0	0	0	0	0	24	0	0	6	0	2	5	0	0	0	0	0	0	2	0	3	0	47	8	0	1	0	0	0	0	15	10	1	7	10	0	9	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	21
Quinoline alkaloids	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	2	0	0	1	0	0	0	0	0	0	1	0	0	0	3	0	0	0	4	0	0	6	0	0	1	2	0	11	1	1	3	14	0	0	10	1	0	0	0	0	0	0	0	0	0	0	4	1	720	2	5	4	0	0	0	0	0	0	0	26	0	0	0	4	0	0	0	2	0	0	0	0	0	1	6	2	0	0	2	0	0	0	0	0	0	2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	10	0	1	1	1	0	0	10	0	0	0	1	0	0	0	9	18	4	0	7	4	0	5	0	2	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	2	2	0	0	12	0	32	0	0	1	0	14	2	8	0	1	0	0	0	0	16	1	0	0	0	0	61	0	3	24	0	0	0	0	0	10	0	0	8	0	4	1	0	0	0	2	1	0	0	1	0	25	1	35	28	3	22	3	0	38	0	1	1	0	1	1	0	0	2	0	0	0	0	0	0	1	2	0	164	0	0	1	1	0	0	0	0	1	19	0	0	0	0	1	6	0	0	20	0	0	0	1	0	0	0	0	0	2	2	0	0	7	1	3	0	0	0	0	0	23	4	0	0	0	0	0	0	0	0	2	0	2	0	1	0	0	0	0	0	0	0	0	8	0	1	0	0	0	1	0	0	0	3	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	1	0	0	0	0	0	1
Flavones	1	0	5	5	0	6	1	7	2	0	1	2	3	2	2	0	0	84	24	0	5	3	14	3	0	4	3	8	0	13	178	3	1	5	5	0	0	0	0	0	5	8	3	4	29	0	0	0	30	12	0	7	3	0	0	122	0	32	0	98	0	0	0	0	114	5	0	0	0	6	13	0	1	4	26	3	16	1	398	33	19	85	0	4	1	2	18	2	3	223	0	77	56	0	9	0	0	5	0	14	14	0	11	55	16	7	6	4	12	8	0	3	0	8	4	7	10	3	3	6	3	6	1	1	0	0	0	1	0	1	1	0	7	1	0	0	1	6	4	23	3	77	24	10	4	2	0	25	0	6	16	75	0	55	157	11	17	10	14	3	3	10	95	134	48	0	33	6	20	409	10	46	29	1	7	6	12	0	0	0	0	0	14	119	7	7	0	11	28	8	58	70	1	53	0	4	63	0	71	58	74	0	16	4	17	20	2	231	14	28	3	25	0	1311	1	43	115	11	15	7	3	0	102	3	1	51	2	22	9	15	0	16	24	11	7	23	8	0	112	30	44	121	50	100	40	33	1410	7	28	38	82	6	9	11	2	115	0	0	6	0	0	13	11	68	6	1876	0	5	0	3	0	25	4	0	28	29	0	0	0	4	66	41	1	30	47	0	22	4	8	3	1	0	1	1	4	8	6	31	149	31	36	7	0	0	0	0	64	49	11	7	16	13	42	20	2	8	48	0	5	0	42	0	18	0	5	0	0	1	0	96	18	0	6	7	0	0	1	1	0	55	2	0	1	0	10	0	0	2	4	0	5	3	0	1	3	12	0	22	0	1	0	3	0	0	0	1	3	3	0	1	0	15	6	6	35	8	0	2	0	0	1
Pyridine alkaloids	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	1	3	5	0	0	0	0	0	0	0	0	0	1	3	2	0	9	2	0	0	7	0	0	3	0	0	0	25	0	5	0	0	0	0	1	4	13	1	0	0	0	0	0	0	0	1	0	0	2	0	26	1	5	12	0	0	0	0	1	0	3	16	0	1	0	0	0	0	0	1	0	0	0	0	0	2	2	3	0	0	20	0	0	0	0	1	0	1	1	0	0	0	3	2	0	2	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	1	0	1	18	3	0	0	0	1	0	1	8	5	0	0	4	0	4	0	3	0	0	0	10	12	3	0	8	0	2	6	1	3	3	0	0	0	1	0	0	0	1	0	2	2	0	0	1	0	6	0	0	3	4	8	0	2	2	1	0	4	36	0	0	0	0	0	0	22	0	20	0	0	0	524	0	4	10	3	3	4	0	0	20	0	0	4	0	0	1	1	0	0	5	1	0	4	1	0	17	6	6	5	0	251	7	0	53	1	9	1	10	3	0	0	0	9	0	0	2	0	0	1	0	16	3	64	0	6	0	1	0	0	0	1	0	131	0	1	0	0	6	3	0	0	5	0	5	2	0	0	0	0	1	0	0	0	0	4	24	0	4	1	0	0	0	1	7	19	3	0	0	0	5	0	0	0	1	0	1	1	5	0	1	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0
Simple coumarins	0	1	0	1	1	0	5	0	0	0	0	0	0	0	0	1	0	11	5	6	0	0	7	0	0	2	0	2	1	1	5	0	0	7	0	1	0	0	0	0	4	1	7	8	9	1	0	0	10	0	0	11	1	0	0	13	0	27	0	3	2	2	0	2	22	6	0	0	2	0	0	0	2	16	4	1	7	1	818	25	7	5	1	4	0	1	10	2	1	107	0	2	5	4	4	0	0	2	2	0	0	0	0	3	8	1	0	2	3	0	0	0	1	0	3	5	5	2	0	0	0	2	0	0	0	0	0	0	0	1	0	0	3	1	0	0	0	0	0	4	1	2	0	0	3	0	0	7	0	1	3	18	0	5	13	1	4	0	13	0	1	1	44	46	11	0	21	1	4	90	3	8	4	0	3	2	2	0	0	0	0	0	4	10	2	0	0	2	13	1	10	20	4	39	1	1	12	1	7	4	17	5	2	0	0	0	0	58	1	20	2	6	0	362	0	13	33	1	4	1	3	0	82	0	0	60	1	2	7	0	0	1	4	6	1	14	0	0	809	33	23	40	7	76	15	3	113	0	48	5	20	1	0	0	0	11	0	0	3	0	0	0	0	22	15	558	0	4	1	0	3	3	0	5	6	6	0	0	0	5	14	31	0	0	33	0	5	0	0	0	1	0	0	0	2	7	1	1	26	5	3	0	0	0	0	0	18	17	7	0	1	2	5	14	1	1	31	1	9	0	7	1	0	0	0	0	1	1	1	7	0	0	0	0	0	0	0	0	2	11	8	2	0	0	1	0	1	0	0	0	0	0	0	0	0	1	1	151	0	4	0	0	0	1	4	2	0	1	0	2	0	2	0	0	3	0	0	0	0	0	0
