fam_name	# chemicals	# level specific chemicals	# med plants
Crossosomataceae	0.7692	0.2308	0.0
Didymochlaenaceae	0.8571	0.1429	0.0
Menispermaceae	0.7643	0.2203	0.0153
Orchidaceae	0.7871	0.1988	0.0141
Papaveraceae	0.7444	0.2418	0.0139
Hedwigiaceae	0.6154	0.3846	0.0
Hymenophytaceae	0.6522	0.3478	0.0
Anisophylleaceae	1.0	0.0	0.0
Violaceae	0.8214	0.1429	0.0357
Orthotrichaceae	1.0	0.0	0.0
Eucommiaceae	0.9082	0.0867	0.0051
Plagiogyriaceae	0.6667	0.3333	0.0
Menyanthaceae	0.8049	0.1707	0.0244
Goodeniaceae	0.8438	0.125	0.0312
Sphaerocarpaceae	1.0	0.0	0.0
Cannabaceae	0.8579	0.134	0.0081
Hydrophyllaceae	0.8	0.2	0.0
Cynomoriaceae	0.9175	0.0619	0.0206
Passifloraceae	0.8704	0.1073	0.0223
Ophioglossaceae	0.8146	0.1756	0.0098
Ebenaceae	0.8584	0.1229	0.0187
Calceolariaceae	0.8295	0.1705	0.0
Trigoniaceae	1.0	0.0	0.0
Portulacaceae	0.7462	0.2462	0.0076
Verbenaceae	0.777	0.2085	0.0145
Ptilidiaceae	1.0	0.0	0.0
Dioncophyllaceae	0.6444	0.3556	0.0
Pandaceae	0.8636	0.1364	0.0
Asparagaceae	0.71	0.276	0.014
Daphniphyllaceae	0.645	0.3511	0.0038
Scapaniaceae	0.814	0.186	0.0
Amborellaceae	1.0	0.0	0.0
Corsiniaceae	0.5667	0.4333	0.0
Rutaceae	0.7343	0.2558	0.0098
Salicaceae	0.8019	0.1787	0.0193
Gymnomitriaceae	0.7551	0.2449	0.0
Tovariaceae	1.0	0.0	0.0
Urticaceae	0.8726	0.108	0.0194
Penthoraceae	0.5	0.0	0.5
Hypnaceae	0.7872	0.2128	0.0
Davalliaceae	0.9651	0.0233	0.0116
Olacaceae	0.7097	0.2903	0.0
Metteniusaceae	0.6129	0.3548	0.0323
Capparaceae	0.8724	0.1103	0.0172
Quillajaceae	0.7	0.2	0.1
Zosteraceae	0.84	0.14	0.02
Euphorbiaceae	0.7367	0.2462	0.0171
Acrobolbaceae	0.5385	0.4615	0.0
