taxon	Furofuranoid lignans	Dihydroflavonols	Shikimic acids and derivatives	Eudesmane sesquiterpenoids	Stigmastane steroids	Lupane triterpenoids	Chalcones	Cinnamic acids and derivatives	Menthane monoterpenoids	Flavan-3-ols	Oleanane triterpenoids	Flavonols	Ursane and Taraxastane triterpenoids	Gallotannins	Acyclic monoterpenoids	Simple coumarins	Flavanones	Monocyclic monoterpenoids	Flavones	Neolignans
Dipterocarpaceae	0.012704174228675136	0.003629764065335753	0.0018148820326678765	0.0054446460980036296	0.010889292196007259	0.016333938294010888	0.0018148820326678765	0.025408348457350273	0.023593466424682397	0.009074410163339383	0.029038112522686024	0.06896551724137931	0.018148820326678767	0.003629764065335753	0.030852994555353903	0.012704174228675136	0.018148820326678767	0.016333938294010888	0.09074410163339383	0.007259528130671506
Solanaceae	0.00268591572939399	0.0028537854624811148	0.004028873594090985	0.007722007722007722	0.013765318113144201	0.005203961725700856	0.006043310391136478	0.028034245425549772	0.008561356387443344	0.0067147893234849754	0.020480107436629175	0.04784287392983045	0.007050528789659225	0.0033573946617424877	0.011415141849924459	0.012758099714621454	0.00805774718818197	0.005203961725700856	0.016786973308712438	0.0033573946617424877
Convolvulaceae	0.011315417256011316	0.005657708628005658	0.006364922206506365	0.002828854314002829	0.009900990099009901	0.009900990099009901	0.0014144271570014145	0.04314002828854314	0.007779349363507779	0.009193776520509194	0.016973125884016973	0.05304101838755304	0.009900990099009901	0.004243281471004243	0.005657708628005658	0.010608203677510608	0.005657708628005658	0.002828854314002829	0.028288543140028287	0.024045261669024046
Colchicaceae	0.0	0.013671875	0.0	0.001953125	0.02734375	0.001953125	0.029296875	0.0859375	0.02734375	0.001953125	0.01953125	0.02734375	0.013671875	0.0234375	0.009765625	0.005859375	0.021484375	0.01171875	0.064453125	0.001953125
Lamiaceae	0.004782400765184123	0.0031085604973696795	0.0038857006217120995	0.005021520803443328	0.01608082257293161	0.00585844093735055	0.005738880918220947	0.04184600669536107	0.032639885222381634	0.005380200860832138	0.024390243902439025	0.03766140602582496	0.018472022955523672	0.005679100908656145	0.018531802965088474	0.006755141080822573	0.014347202295552367	0.03987326637972262	0.08428981348637016	0.009265901482544237
Phrymaceae	0.004807692307692308	0.019230769230769232	0.004807692307692308	0.004807692307692308	0.03365384615384615	0.0	0.009615384615384616	0.004807692307692308	0.009615384615384616	0.004807692307692308	0.014423076923076924	0.057692307692307696	0.0	0.0	0.014423076923076924	0.0	0.02403846153846154	0.004807692307692308	0.03365384615384615	0.009615384615384616
Oleaceae	0.04747991234477721	0.0014609203798392988	0.005113221329437546	0.0	0.01168736303871439	0.009495982468955442	0.002191380569758948	0.07085463842220599	0.020452885317750184	0.0007304601899196494	0.03871439006574142	0.04382761139517896	0.017531044558071585	0.0029218407596785976	0.01095690284879474	0.03506208911614317	0.003652300949598247	0.01095690284879474	0.020452885317750184	0.006574141709276844
Scrophulariaceae	0.011853448275862068	0.00646551724137931	0.008620689655172414	0.00646551724137931	0.02693965517241379	0.00646551724137931	0.016163793103448277	0.09051724137931035	0.018318965517241378	0.011853448275862068	0.029094827586206896	0.06465517241379311	0.020474137931034482	0.00646551724137931	0.007543103448275862	0.005387931034482759	0.010775862068965518	0.009698275862068966	0.040948275862068964	0.007543103448275862
Berberidaceae	0.013736263736263736	0.0005494505494505495	0.007142857142857143	0.0032967032967032967	0.00989010989010989	0.007692307692307693	0.0	0.03461538461538462	0.004945054945054945	0.006043956043956044	0.03241758241758242	0.19395604395604396	0.016483516483516484	0.004945054945054945	0.008791208791208791	0.01098901098901099	0.0016483516483516484	0.0027472527472527475	0.045054945054945054	0.013736263736263736
Pedaliaceae	0.0625	0.005208333333333333	0.005208333333333333	0.005208333333333333	0.046875	0.0	0.0	0.0625	0.0	0.005208333333333333	0.015625	0.015625	0.010416666666666666	0.0	0.005208333333333333	0.005208333333333333	0.0	0.0	0.03125	0.0
Conocephalaceae	0.0	0.012738853503184714	0.012738853503184714	0.01910828025477707	0.025477707006369428	0.012738853503184714	0.0	0.012738853503184714	0.025477707006369428	0.012738853503184714	0.012738853503184714	0.03184713375796178	0.025477707006369428	0.012738853503184714	0.0	0.0	0.006369426751592357	0.01910828025477707	0.05732484076433121	0.0
Ricciaceae	0.0	0.0	0.0	0.0	0.030303030303030304	0.0	0.0	0.0	0.030303030303030304	0.0	0.09090909090909091	0.0	0.0	0.0	0.030303030303030304	0.0	0.0	0.030303030303030304	0.3333333333333333	0.0
Scapaniaceae	0.0	0.0	0.0	0.13761467889908258	0.03669724770642202	0.009174311926605505	0.0	0.06422018348623854	0.01834862385321101	0.0	0.0	0.11009174311926606	0.027522935779816515	0.0	0.0	0.0	0.009174311926605505	0.01834862385321101	0.01834862385321101	0.0
Acanthaceae	0.009181969949916527	0.0	0.009181969949916527	0.014190317195325543	0.027545909849749584	0.01001669449081803	0.005843071786310518	0.028380634390651086	0.004173622704507512	0.00333889816360601	0.015025041736227046	0.02921535893155259	0.00333889816360601	0.04757929883138564	0.00667779632721202	0.009181969949916527	0.017529215358931552	0.0008347245409015025	0.09599332220367279	0.001669449081803005
Calypogeiaceae	0.0	0.0	0.04081632653061224	0.04081632653061224	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Calyceraceae	0.07142857142857142	0.07142857142857142	0.03571428571428571	0.0	0.10714285714285714	0.07142857142857142	0.0	0.0	0.07142857142857142	0.0	0.03571428571428571	0.03571428571428571	0.0	0.03571428571428571	0.07142857142857142	0.0	0.0	0.0	0.0	0.0
Sphenocleaceae	0.0	0.0196078431372549	0.0	0.006535947712418301	0.032679738562091505	0.013071895424836602	0.0	0.032679738562091505	0.013071895424836602	0.0	0.013071895424836602	0.0457516339869281	0.006535947712418301	0.0	0.0	0.0196078431372549	0.0	0.013071895424836602	0.0392156862745098	0.0
Stilbaceae	0.0	0.0	0.0	0.058823529411764705	0.058823529411764705	0.0	0.0	0.11764705882352941	0.0	0.0	0.0	0.11764705882352941	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Metteniusaceae	0.1	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Lentibulariaceae	0.0	0.015384615384615385	0.0	0.0	0.015384615384615385	0.0	0.03076923076923077	0.06153846153846154	0.015384615384615385	0.015384615384615385	0.0	0.2	0.0	0.015384615384615385	0.0	0.0	0.09230769230769231	0.0	0.2	0.0
Aspleniaceae	0.008620689655172414	0.0	0.004310344827586207	0.004310344827586207	0.03017241379310345	0.0	0.0	0.034482758620689655	0.0	0.0	0.004310344827586207	0.14224137931034483	0.0	0.0	0.0	0.0	0.01293103448275862	0.0	0.04741379310344827	0.004310344827586207
Caprifoliaceae	0.011739594450373533	0.0064034151547491995	0.005336179295624333	0.0026680896478121665	0.016008537886873	0.005336179295624333	0.003735325506937033	0.042689434364994665	0.015474919957310566	0.0026680896478121665	0.0672358591248666	0.04909284951974386	0.014941302027748132	0.011739594450373533	0.016008537886873	0.011739594450373533	0.015474919957310566	0.009071504802561366	0.03628601921024546	0.005869797225186766
Adoxaceae	0.014446227929373997	0.0	0.004815409309791332	0.009630818619582664	0.033707865168539325	0.024077046548956663	0.025682182985553772	0.05778491171749599	0.025682182985553772	0.004815409309791332	0.06581059390048154	0.051364365971107544	0.04654895666131621	0.008025682182985553	0.014446227929373997	0.024077046548956663	0.008025682182985553	0.009630818619582664	0.009630818619582664	0.02086677367576244
Asteraceae	0.0059153772422292205	0.006216623305490894	0.0038614268108996303	0.02812542790633986	0.018732027933725866	0.010434068191154321	0.009366013966862933	0.02952211419964398	0.018321237847459947	0.005614131178967548	0.02448308914144872	0.08522524989730249	0.01473367109407093	0.011858140490209503	0.015117075174585787	0.015281391209092153	0.013419142818019992	0.015582637272353827	0.05137614678899083	0.006024921265233465
Hamamelidaceae	0.0	0.0	0.03333333333333333	0.0	0.008333333333333333	0.0	0.008333333333333333	0.025	0.008333333333333333	0.025	0.008333333333333333	0.06666666666666667	0.0	0.08333333333333333	0.0	0.0	0.0	0.016666666666666666	0.0	0.0
Cornaceae	0.0	0.0022624434389140274	0.004524886877828055	0.0022624434389140274	0.011312217194570135	0.013574660633484163	0.0022624434389140274	0.038461538461538464	0.004524886877828055	0.013574660633484163	0.020361990950226245	0.06561085972850679	0.029411764705882353	0.06561085972850679	0.0	0.00904977375565611	0.0	0.004524886877828055	0.011312217194570135	0.004524886877828055
Griseliniaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.030303030303030304	0.030303030303030304	0.09090909090909091	0.0	0.0	0.0	0.030303030303030304	0.0	0.0	0.0	0.0
Acoraceae	0.015527950310559006	0.0	0.015527950310559006	0.027950310559006212	0.018633540372670808	0.0	0.0	0.06832298136645963	0.021739130434782608	0.0	0.009316770186335404	0.012422360248447204	0.003105590062111801	0.0	0.021739130434782608	0.0	0.0	0.021739130434782608	0.009316770186335404	0.07763975155279502
Malpighiaceae	0.010416666666666666	0.052083333333333336	0.0	0.0	0.020833333333333332	0.03125	0.0	0.0	0.010416666666666666	0.052083333333333336	0.0625	0.14583333333333334	0.010416666666666666	0.020833333333333332	0.010416666666666666	0.03125	0.0	0.010416666666666666	0.0	0.0
Polygalaceae	0.0016366612111292963	0.0	0.0	0.0032733224222585926	0.014729950900163666	0.0	0.0	0.14238952536824878	0.016366612111292964	0.0	0.10147299509001637	0.05237315875613748	0.03436988543371522	0.0016366612111292963	0.009819967266775777	0.004909983633387889	0.0	0.009819967266775777	0.04091653027823241	0.0016366612111292963
Garryaceae	0.023529411764705882	0.0	0.023529411764705882	0.0	0.03529411764705882	0.011764705882352941	0.023529411764705882	0.08235294117647059	0.011764705882352941	0.011764705882352941	0.0	0.15294117647058825	0.0	0.011764705882352941	0.0	0.0	0.023529411764705882	0.0	0.047058823529411764	0.0
Nyssaceae	0.016666666666666666	0.0	0.0	0.0	0.0	0.016666666666666666	0.0	0.016666666666666666	0.016666666666666666	0.0	0.016666666666666666	0.06666666666666667	0.0	0.016666666666666666	0.016666666666666666	0.08333333333333333	0.0	0.016666666666666666	0.0	0.016666666666666666
Aquifoliaceae	0.0018867924528301887	0.0	0.0037735849056603774	0.0037735849056603774	0.016981132075471698	0.007547169811320755	0.0	0.03962264150943396	0.04339622641509434	0.005660377358490566	0.1660377358490566	0.06792452830188679	0.14339622641509434	0.0018867924528301887	0.022641509433962263	0.011320754716981131	0.0037735849056603774	0.022641509433962263	0.052830188679245285	0.0037735849056603774
Celastraceae	0.007994186046511628	0.005450581395348837	0.005813953488372093	0.04251453488372093	0.017078488372093022	0.0345203488372093	0.0014534883720930232	0.016715116279069766	0.009084302325581396	0.017805232558139535	0.04941860465116279	0.03997093023255814	0.02616279069767442	0.0010901162790697674	0.005813953488372093	0.002180232558139535	0.005450581395348837	0.012354651162790697	0.010537790697674418	0.010174418604651164
Dichapetalaceae	0.0	0.0	0.0	0.0	0.0	0.07692307692307693	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Icacinaceae	0.03389830508474576	0.0	0.01694915254237288	0.0	0.03389830508474576	0.0	0.0	0.1016949152542373	0.0	0.0	0.03389830508474576	0.03389830508474576	0.03389830508474576	0.0	0.0	0.0	0.0	0.01694915254237288	0.0	0.06779661016949153
Salvadoraceae	0.0425531914893617	0.0	0.0	0.0	0.02127659574468085	0.0	0.0	0.06382978723404255	0.02127659574468085	0.0	0.0	0.0	0.0	0.0	0.02127659574468085	0.0	0.0	0.0	0.0	0.0
Proteaceae	0.0	0.004098360655737705	0.0	0.0	0.004098360655737705	0.004098360655737705	0.0	0.02459016393442623	0.020491803278688523	0.00819672131147541	0.01639344262295082	0.0778688524590164	0.012295081967213115	0.0	0.012295081967213115	0.020491803278688523	0.0	0.012295081967213115	0.01639344262295082	0.0
Primulaceae	0.008247422680412371	0.015120274914089347	0.002061855670103093	0.0006872852233676976	0.013745704467353952	0.008247422680412371	0.01718213058419244	0.02611683848797251	0.015120274914089347	0.009621993127147767	0.1463917525773196	0.12233676975945017	0.01168384879725086	0.004810996563573883	0.007560137457044674	0.009621993127147767	0.04261168384879725	0.01168384879725086	0.04536082474226804	0.004810996563573883
Ericaceae	0.0023889154323936935	0.01433349259436216	0.008122312470138558	0.004777830864787387	0.023411371237458192	0.01098901098901099	0.015766841853798376	0.041567128523650264	0.01098901098901099	0.011944577161968466	0.024844720496894408	0.12709030100334448	0.03917821309125657	0.003822264691829909	0.014811275680840898	0.014811275680840898	0.018155757286192068	0.011944577161968466	0.019589106545628284	0.0033444816053511705
Sarraceniaceae	0.0	0.0	0.0	0.0	0.03773584905660377	0.05660377358490566	0.0	0.0	0.0	0.0	0.05660377358490566	0.05660377358490566	0.018867924528301886	0.0	0.0	0.0	0.09433962264150944	0.0	0.018867924528301886	0.0
Droseraceae	0.0	0.0	0.0	0.0053475935828877	0.0106951871657754	0.0	0.0213903743315508	0.03208556149732621	0.0374331550802139	0.0	0.0	0.11764705882352941	0.0	0.0106951871657754	0.0374331550802139	0.0	0.016042780748663103	0.0374331550802139	0.16042780748663102	0.0
